98765,0862728122370,OPENSTAX,CLT,5,150_day,2017-05-31 14:21:29.560404
98766,6578216102199,ENGLISH PUBLICATIONS,PDX,5,110_day,2017-01-21 14:37:45.560706
98767,0280959527665,MCGRAW-HILL,IAD,8,70_day,2017-03-23 14:26:00.560738
98768,6908865713790,ENGLISH PUBLICATIONS,LAS,1,140_day,2016-10-22 11:19:51.560766
98769,2803012368151,ENGLISH PUBLICATIONS,TPA,7,40_day,2017-03-12 11:15:44.560793
98770,3899405607886,ENGLISH PUBLICATIONS,MCO,7,20_day,2017-07-15 10:57:52.560820
98771,1899596499745,PEARSON,MIA,3,110_day,2017-05-23 09:16:43.560846
98772,0754473481928,OPENSTAX,CLE,1,90_day,2017-08-09 14:31:23.560872
98773,5527575847240,ENGLISH PUBLICATIONS,HNL,7,130_day,2016-11-26 10:13:20.560898
98774,8765173058348,PEARSON,SEA,1,90_day,2017-07-19 14:33:37.560924
98775,7192583653601,SCIPUB,BOS,8,140_day,2017-08-03 14:02:28.560950
98776,6904964906045,SCIPUB,PHL,5,10_day,2017-04-17 07:01:33.560976
98777,6340043053809,PEARSON,DTW,4,40_day,2017-02-06 10:47:03.561002
98778,5189969900865,ENGLISH PUBLICATIONS,CLE,6,10_day,2016-11-10 07:13:42.561028
98779,3547388154426,MACMILLAN,ATL,4,150_day,2016-12-10 09:13:01.561056
98780,1842412881119,OXFORD UNIVERSITY PRESS,MCI,4,0_day,2017-05-18 08:12:27.561082
98781,6783213109159,PEARSON,BOS,6,30_day,2017-03-15 15:36:54.561108
98782,6753938327832,SCIPUB,LAX,7,0_day,2016-10-20 12:31:46.561134
98783,5788436605126,ENGLISH PUBLICATIONS,BOS,8,150_day,2017-07-24 14:17:32.561159
98784,4719334496363,MACMILLAN,AUS,3,70_day,2017-05-22 07:19:29.561185
98785,9863757704522,PENGUIN RANDOMHOUSE,BNA,8,40_day,2017-07-01 14:15:53.561211
98786,8869614925995,ENGLISH PUBLICATIONS,IAD,8,110_day,2016-12-26 11:34:13.561237
98787,6483055903377,ENGLISH PUBLICATIONS,ATL,2,120_day,2016-10-30 11:27:54.561262
98788,3655831300331,PEARSON,MIA,8,120_day,2017-03-25 07:42:15.561288
98789,3458743656032,PEARSON,FLL,2,20_day,2016-10-19 09:31:52.561314
98790,3117797384522,OXFORD UNIVERSITY PRESS,MCO,2,160_day,2016-11-13 15:17:20.561340
98791,7092208751582,ENGLISH PUBLICATIONS,SAN,2,100_day,2017-08-14 15:12:46.561366
98792,4780159088458,PEARSON,PDX,9,20_day,2017-01-21 12:17:58.561391
98793,3455843886681,ENGLISH PUBLICATIONS,MCO,4,60_day,2017-05-16 08:51:17.561418
98794,1441757397883,PEARSON,SEA,9,10_day,2017-04-12 09:37:34.561444
98795,9277080469051,MCGRAW-HILL,MSP,6,120_day,2017-04-02 11:05:31.561470
98796,6649948999565,SCIPUB,BNA,2,70_day,2017-06-13 15:17:34.561496
98797,8999581223940,SCIPUB,MCO,2,0_day,2017-02-27 06:48:45.561521
